Severity,district,road_name,Description,dataset_track,source_label,source_id,country,emirate,Start_Time
3,Business Bay,Sheikh Zayed Road,Rear-end collision on Sheikh Zayed Road in Business Bay involving 3 vehicles. Two lanes blocked causing heavy corridor congestion. Minor injuries reported.,gcc,Dubai Pulse Traffic Incidents,dubai_pulse_incidents,United Arab Emirates,Dubai,2026-02-14 18:10:00
2,Al Barsha,Hessa Street,Multi-vehicle crash on Hessa Street in Al Barsha involving 4 vehicles. One lane blocked due to hazy conditions causing slow eastbound movement. No major injuries reported.,gcc,Dubai Pulse Traffic Incidents,dubai_pulse_incidents,United Arab Emirates,Dubai,2026-02-18 08:25:00
1,Deira,Al Ittihad Road,Vehicle breakdown on Al Ittihad Road in Deira. Shoulder occupied causing localized delays. No injuries reported.,gcc,Dubai Pulse Traffic Incidents,dubai_pulse_incidents,United Arab Emirates,Dubai,2026-02-19 21:05:00
3,Downtown Dubai,Financial Centre Road,Side-impact collision on Financial Centre Road in Downtown Dubai involving 2 vehicles. Intersection partially closed causing signalized junction delays. Moderate injuries reported.,gcc,Dubai Pulse Traffic Incidents,dubai_pulse_incidents,United Arab Emirates,Dubai,2026-02-20 17:40:00
4,Jebel Ali,Sheikh Mohammed Bin Zayed Road,Truck rollover on Sheikh Mohammed Bin Zayed Road in Jebel Ali. Three lanes blocked causing major freight disruption. Serious injuries reported.,gcc,Dubai Pulse Traffic Incidents,dubai_pulse_incidents,United Arab Emirates,Dubai,2026-02-22 06:50:00
3,Al Qusais,Beirut Street,Pedestrian collision on Beirut Street in Al Qusais. One lane blocked causing school commute slowdown. Pedestrian injured.,gcc,Dubai Pulse Traffic Incidents,dubai_pulse_incidents,United Arab Emirates,Dubai,2026-02-23 07:55:00
2,Khalidiyah,Airport Road,Traffic incident on Airport Road in Khalidiyah. Vehicles involved in collision causing significant delays. Minor injuries reported.,gcc,UAE Federal Traffic Statistics,uae_federal_traffic_stats,United Arab Emirates,Abu Dhabi,2026-02-15 09:30:00
3,Al Mushrif,Al Karamah Street,Major collision on Al Karamah Street in Al Mushrif involving multiple vehicles. Road partially blocked causing severe congestion during peak hours. Moderate injuries reported.,gcc,UAE Federal Traffic Statistics,uae_federal_traffic_stats,United Arab Emirates,Abu Dhabi,2026-02-16 17:45:00
1,Corniche,Corniche Road,Minor vehicle breakdown on Corniche Road. Shoulder used for parking causing minimal disruption. No injuries.,gcc,Abu Dhabi Incidents,abu_dhabi_incidents,United Arab Emirates,Abu Dhabi,2026-02-17 14:20:00
4,Al Ain Industrial,Al Ain Road,Serious multi-vehicle crash on Al Ain Road near industrial zone. Multiple lanes closed and emergency services deployed. Critical injuries reported.,gcc,Abu Dhabi Incidents,abu_dhabi_incidents,United Arab Emirates,Abu Dhabi,2026-02-21 07:15:00
